RECORD_CANDIDATE_n103.json: CERTIFIED n=103 s(n) <= 10.7037798432594996746857904638497581522622272 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n105.json: CERTIFIED n=105 s(n) <= 10.8075885321085220644093300307321789558184912 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n131.json: CERTIFIED n=131 s(n) <= 11.9565219009689778920912163565958651684006866 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n132.json: CERTIFIED n=132 s(n) <= 11.9913452992128208975574971519867426011510857 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n152.json: CERTIFIED n=152 s(n) <= 12.8307188009766099551018685201313204279677255 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n154.json: CERTIFIED n=154 s(n) <= 12.9316637348033693178899951746339592848186187 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n155.json: CERTIFIED n=155 s(n) <= 12.9582060899960152253432086186191984909791801 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n156.json: CERTIFIED n=156 s(n) <= 12.9820826985168931019470076750499426939606072 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n180.json: CERTIFIED n=180 s(n) <= 13.9350041798604141858693405941678931263939182 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n182.json: CERTIFIED n=182 s(n) <= 13.9740907131214390070103891256404432756953604 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n206.json: CERTIFIED n=206 s(n) <= 14.8722190256074377394871455973742760154621793 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n207.json: CERTIFIED n=207 s(n) <= 14.8939546347744010361718942990337700889182824 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n270.json: CERTIFIED n=270 s(n) <= 16.9405712039321581117299162425858579388330354 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n271.json: CERTIFIED n=271 s(n) <= 16.9547944564938501497547557089498467429528408 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n272.json: CERTIFIED n=272 s(n) <= 16.9694490236344201184601422328901741562876625 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n208.json: CERTIFIED n=208 s(n) <= 14.9376615117994349489081295060814178201876103 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n209.json: CERTIFIED n=209 s(n) <= 14.9585566961965049458416191413872881067973893 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n210.json: CERTIFIED n=210 s(n) <= 14.9738133324266347610425011673644701636835493 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n236.json: CERTIFIED n=236 s(n) <= 15.8760626239911862373560693119377457576008166 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n238.json: CERTIFIED n=238 s(n) <= 15.9395857121900105026391298006594628441715257 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n239.json: CERTIFIED n=239 s(n) <= 15.9562322748065175507912347198501810196231010 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n240.json: CERTIFIED n=240 s(n) <= 15.9753657443753586553452205264586101694252278 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n241.json: CERTIFIED n=241 s(n) <= 15.9904397153377618933640156750598288404919671 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n268.json: CERTIFIED n=268 s(n) <= 16.8790929787742401157444080353014136049243124 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n273.json: CERTIFIED n=273 s(n) <= 16.9881146698350564815678703986317687711457885 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n297.json: CERTIFIED n=297 s(n) <= 17.7409288062055493423109551749119957333041515 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n301.json: CERTIFIED n=301 s(n) <= 17.8686783651071718539330652481673735481380487 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n303.json: CERTIFIED n=303 s(n) <= 17.9310655316951804182698037481346645080047995 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n307.json: CERTIFIED n=307 s(n) <= 17.9820519995284446663834826778372692993340326 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n305.json: CERTIFIED n=305 s(n) <= 17.9605366721804893548829318517143392283786920 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n306.json: CERTIFIED n=306 s(n) <= 17.9684660898962018738539173887110338329557972 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n181.json: CERTIFIED n=181 s(n) <= 13.9567952536265722235136311575823408633922829 (interval arithmetic, 80 digits, inflation 1e-40)
RECORD_CANDIDATE_n304.json: CERTIFIED n=304 s(n) <= 17.9487849807439988241802441702529667516787659 (interval arithmetic, 80 digits, inflation 1e-40)
