RESULT n10_s3.707106903_seed2198.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 10 first-order flex(es); rattlers: [3, 8]
RESULT n10_s3.707106931_seed2138.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707106988_seed2135.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107012_seed2067.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107033_seed2035.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107042_seed2147.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107108_seed2107.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107118_seed2032.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 10 first-order flex(es); rattlers: [2, 8]
RESULT n10_s3.707107132_seed2102.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107138_seed2111.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107149_seed2216.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107152_seed2060.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107155_seed2163.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107271_seed2191.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 10 first-order flex(es); rattlers: [2, 8]
RESULT n10_s3.707107414_seed2219.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107513_seed2201.json: PASS s=3.70710678118654752444 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107746_seed2072.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107791_seed2117.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707107841_seed2076.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707108118_seed2195.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707108354_seed2054.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707108818_seed2084.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707108883_seed2218.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707109105_seed2092.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707109231_seed2202.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 10 first-order flex(es); rattlers: [2, 5]
RESULT n10_s3.707109338_seed2132.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
RESULT n10_s3.707109509_seed2140.json: PASS s=3.70710678118654752440 gap_to_record=+0.000e+00 6 first-order flex(es); rattlers: none
